,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_home,reb_home,pts_home,wl_home,ast_home,tov_home,pf_home,plus_minus_home,game_year,off_rebounds_home
9194,20800077,3,4,0,3,0,0,0,0,0,0,1,Golden State Warriors,41.0,104.0,L,18.0,13.0,24.0,-5,2008,10
9195,20800079,6,5,1,0,0,0,1,0,0,0,1,Indiana Pacers,51.0,98.0,W,23.0,13.0,22.0,18,2008,13
9196,20800080,5,4,0,1,0,0,1,0,0,0,1,Orlando Magic,42.0,106.0,W,21.0,13.0,17.0,25,2008,11
9197,20800081,3,6,0,2,0,0,0,0,0,0,0,New Orleans Pelicans,45.0,100.0,W,23.0,10.0,23.0,11,2008,11
9198,20800082,6,7,0,2,0,0,0,0,0,0,1,Chicago Bulls,38.0,97.0,L,17.0,14.0,21.0,-9,2008,15
9199,20800083,4,4,0,1,0,1,0,0,0,0,0,Milwaukee Bucks,39.0,96.0,L,22.0,11.0,33.0,-8,2008,9
9200,20800084,4,4,1,3,0,0,0,0,0,0,2,Portland Trail Blazers,45.0,97.0,W,21.0,11.0,20.0,4,2008,12
9201,20800085,3,1,0,0,0,0,0,0,0,0,4,Charlotte Hornets,36.0,79.0,L,20.0,9.0,16.0,-10,2008,4
9202,20800086,2,2,0,3,0,0,0,0,0,0,2,New York Knicks,43.0,107.0,W,19.0,18.0,17.0,8,2008,7
9203,20800087,1,1,0,1,0,0,0,0,0,0,2,Los Angeles Clippers,41.0,103.0,W,23.0,18.0,21.0,11,2008,3
9204,20800088,5,4,2,1,0,0,0,0,0,0,0,Detroit Pistons,38.0,76.0,L,14.0,17.0,25.0,-12,2008,12
9205,20800089,6,2,1,4,0,0,0,0,0,0,0,Oklahoma City Thunder,48.0,85.0,L,16.0,17.0,23.0,-4,2008,13
9206,20800090,5,1,0,2,0,1,1,0,0,0,0,Denver Nuggets,51.0,100.0,W,23.0,22.0,31.0,10,2008,9
9207,20800091,4,6,0,0,1,0,0,0,0,0,1,Sacramento Kings,50.0,115.0,W,19.0,17.0,26.0,17,2008,10
9208,20800093,2,3,1,1,0,0,0,0,0,0,0,Indiana Pacers,41.0,107.0,W,21.0,11.0,22.0,8,2008,7
9209,20800094,3,2,1,1,0,1,0,0,0,0,1,Orlando Magic,44.0,99.0,L,15.0,14.0,26.0,-7,2008,7
9210,20800095,1,2,0,1,0,0,0,0,0,0,0,Boston Celtics,39.0,94.0,W,17.0,11.0,21.0,7,2008,4
9211,20800096,4,2,0,2,0,0,0,0,0,0,0,Miami Heat,31.0,99.0,W,15.0,13.0,17.0,5,2008,8
9212,20800097,4,1,0,1,0,0,0,0,0,0,0,Phoenix Suns,38.0,107.0,W,16.0,19.0,21.0,5,2008,6
9213,20800098,2,2,0,0,0,0,0,0,0,0,0,Charlotte Hornets,36.0,80.0,L,19.0,18.0,27.0,-8,2008,4
9214,20800099,2,5,0,1,0,0,0,0,0,0,0,Cleveland Cavaliers,36.0,99.0,W,20.0,10.0,23.0,6,2008,8
9215,20800100,2,4,0,1,0,0,0,0,0,0,1,Philadelphia 76ers,42.0,80.0,L,17.0,17.0,17.0,-13,2008,7
9216,20800101,5,6,0,6,0,0,0,0,0,0,2,Chicago Bulls,52.0,108.0,L,20.0,12.0,23.0,-5,2008,17
9217,20800102,4,5,2,3,0,1,1,0,0,0,0,Dallas Mavericks,54.0,99.0,L,20.0,22.0,21.0,-7,2008,15
9218,20800103,4,2,3,3,0,0,0,0,0,0,0,San Antonio Spurs,52.0,92.0,W,18.0,14.0,16.0,12,2008,12
9219,20800104,3,3,0,3,0,0,0,0,0,0,1,Sacramento Kings,44.0,92.0,L,21.0,13.0,24.0,-8,2008,9
9220,20800105,2,1,1,3,0,0,0,1,0,1,1,Golden State Warriors,49.0,113.0,W,16.0,20.0,17.0,3,2008,8
9221,20800106,6,3,0,5,0,0,0,0,0,0,0,Toronto Raptors,37.0,96.0,L,19.0,14.0,14.0,-10,2008,14
9222,20800107,5,5,1,1,0,0,0,0,0,0,0,Boston Celtics,43.0,103.0,W,21.0,15.0,23.0,1,2008,12
9223,20800108,3,2,0,1,0,0,0,0,0,0,1,Miami Heat,35.0,96.0,L,17.0,19.0,21.0,-8,2008,6
9224,20800109,2,3,0,2,0,0,0,0,0,0,0,Brooklyn Nets,42.0,87.0,L,18.0,18.0,20.0,-11,2008,7
9225,20800110,1,3,0,2,0,0,0,1,0,0,1,Memphis Grizzlies,39.0,103.0,L,18.0,17.0,8.0,-29,2008,6
9226,20800111,4,5,0,2,0,0,0,0,0,0,1,Milwaukee Bucks,47.0,82.0,W,17.0,8.0,17.0,4,2008,11
9227,20800112,3,2,0,0,0,0,0,0,0,0,0,New Orleans Pelicans,43.0,86.0,L,16.0,17.0,23.0,-7,2008,5
