,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_away,reb_away,pts_away,wl_away,ast_away,tov_away,pf_away,plus_minus_away,game_year,off_rebounds_away
26639,29800387,4,3,1,0,0,0,0,0,0,0,0,Indiana Pacers,45.0,100.0,W,18.0,11.0,25.0,9,1999,8
26640,29800389,3,5,1,5,0,0,0,0,0,0,1,Orlando Magic,50.0,82.0,L,13.0,17.0,20.0,-8,1999,14
26641,29800390,0,4,1,0,0,0,0,0,0,0,2,Chicago Bulls,34.0,81.0,L,12.0,22.0,25.0,-12,1999,5
26642,29800391,2,4,1,2,0,0,0,0,0,0,0,Milwaukee Bucks,37.0,85.0,L,19.0,17.0,29.0,-5,1999,9
26643,29800392,2,1,0,1,0,0,1,0,0,0,1,Miami Heat,35.0,93.0,L,26.0,13.0,23.0,-7,1999,5
26644,29800394,1,1,1,2,0,0,0,0,0,1,5,Toronto Raptors,37.0,93.0,W,19.0,9.0,25.0,2,1999,6
26645,29800395,3,4,0,0,0,0,1,0,0,0,0,New York Knicks,40.0,94.0,W,16.0,17.0,20.0,7,1999,8
26646,29800396,3,2,0,0,0,0,1,0,0,0,1,Sacramento Kings,36.0,111.0,W,28.0,11.0,20.0,2,1999,6
26647,29800397,2,2,1,2,0,1,1,0,0,0,1,Washington Wizards,37.0,96.0,L,19.0,14.0,27.0,-4,1999,8
26648,29800398,4,1,1,3,0,0,0,0,0,0,1,Los Angeles Clippers,33.0,98.0,L,17.0,21.0,30.0,-6,1999,9
26649,29800399,3,2,0,1,0,1,0,0,0,1,2,Utah Jazz,37.0,85.0,W,24.0,11.0,13.0,5,1999,7
26650,29800400,3,1,1,2,0,1,0,0,0,0,0,Cleveland Cavaliers,34.0,109.0,W,15.0,9.0,22.0,10,1999,7
26651,29800401,2,0,1,2,0,0,1,0,0,0,1,Philadelphia 76ers,41.0,99.0,L,18.0,16.0,32.0,-4,1999,6
26652,29800402,1,3,1,3,0,0,0,0,0,0,1,Dallas Mavericks,40.0,77.0,L,16.0,10.0,20.0,-22,1999,8
26653,29800404,5,2,1,1,0,0,0,0,0,0,1,Utah Jazz,36.0,77.0,L,14.0,21.0,21.0,-26,1999,9
26654,29800405,1,1,1,2,0,0,0,0,0,0,1,Houston Rockets,39.0,87.0,W,17.0,12.0,21.0,1,1999,5
26655,29800406,4,2,1,0,0,0,0,0,0,0,0,Indiana Pacers,33.0,101.0,W,21.0,18.0,22.0,8,1999,7
26656,29800407,3,3,2,3,0,0,0,0,0,0,0,Miami Heat,40.0,87.0,L,22.0,22.0,24.0,-7,1999,11
26657,29800408,4,3,0,2,0,0,0,0,0,0,0,Cleveland Cavaliers,37.0,84.0,L,23.0,18.0,24.0,-21,1999,9
26658,29800409,4,5,0,2,0,0,0,0,0,0,0,Chicago Bulls,40.0,78.0,L,16.0,16.0,21.0,-13,1999,11
